timestamp,url,tweet,replies,retweets,quotes,likes
2020-01-01 01:15,https://twitter.com/JoeBiden/status/1212180387260010496,"Our final fundraising deadline of 2019 is just hours away and we need your help. Every donation — big or small — goes a long way to helping us make Donald Trump a one-term president.

Chip in before midnight to help us reach our goal: https://t.co/CznFJFHT2T",411,269,32,948
2020-01-01 18:35,https://twitter.com/JoeBiden/status/1212442112219844609,"Every single human being deserves to be treated with dignity. Everyone. The poor and the powerless, the marginalized and vulnerable, the “least of these.” That has been the animating principle of my life and my faith. https://t.co/BwmOVQjxVk",1136,2423,182,11574
2020-01-02 00:01,https://twitter.com/JoeBiden/status/1212524152608833536,"With just over one month until the Iowa Caucus, we need all hands on deck to talk with folks about what's at stake in this election.

Join our team today and let's get to work: https://t.co/gnaFCAUzju",332,368,29,1457
2020-01-02 01:05,https://twitter.com/JoeBiden/status/1212540258681851905,This election is about the soul of our nation — and Donald Trump is poison to our soul. https://t.co/cwzycLJV0d,5199,10192,1153,44886
2020-01-02 02:07,https://twitter.com/JoeBiden/status/1212556035283705858,Every day that Donald Trump remains in the White House puts the future of our planet at risk. We have to beat him this November and take immediate action to address the climate emergency. https://t.co/nMDFaCV4Up,1070,2005,128,9581
2020-01-02 16:10,https://twitter.com/JoeBiden/status/1212768009430937601,"It was a privilege to work with @JulianCastro during the Obama Administration, and a true honor to be in this talented field of candidates with him. He led his historic campaign with grace and heart and used his platform to lift the voices of others. Thank you, Mr. Secretary.",439,2284,90,17156
2020-01-02 17:55,https://twitter.com/JoeBiden/status/1212794433617436672,"Like Vicky said, we need a president who will restore integrity to the White House. https://t.co/i8k2OwsK7k",780,1297,105,6657
2020-01-02 19:01,https://twitter.com/JoeBiden/status/1212811057313583106,I'm excited to share that we raised $22.7 million this last quarter — our biggest quarter so far this campaign! Thank you to everyone who chipped in what you could — your support means the world to me. You truly are the heart of our campaign. https://t.co/L53z9YbLsX,1499,2351,326,14346
2020-01-02 23:01,https://twitter.com/JoeBiden/status/1212871441093255168,"If you're a teacher or a firefighter, you're probably paying more in taxes than Amazon or Netflix. We've got to make sure corporations pay their fair share.",972,2961,204,18167
2020-01-03 00:49,https://twitter.com/JoeBiden/status/1212898749305020416,"Before the holidays, Jill walked across the Gateway International Bridge into Matamoros, Mexico, where families are enduring inhumane conditions. Jill witnessed the cruelty of Trump's policies and the resiliency of those risking their lives to seek asylum. https://t.co/3KLjtwEtNE",831,1115,93,3134
2020-01-03 01:30,https://twitter.com/JoeBiden/status/1212908938590670848,"We're just one full day into 2020 and there have already been at least three mass shootings across the country.
 
Enough is enough. We have a moral obligation to do everything in our power to end this gun violence epidemic.",827,1933,116,9692
2020-01-03 02:22,https://twitter.com/JoeBiden/status/1212922129886388224,Donald Trump stacked the Supreme Court with justices to try to overturn Roe v. Wade—and now Republicans are seizing the opportunity to restrict a woman's constitutional right to choose. We have to fight these attacks and ensure this choice remains between a woman and her doctor. https://t.co/5goWP2Bkuv,669,2372,136,7261
2020-01-03 04:32,https://twitter.com/JoeBiden/status/1212954848666234880,My statement on the killing of Qassem Soleimani. https://t.co/4Q9tlLAYFB,5667,6751,1638,24424
2020-01-03 16:15,https://twitter.com/JoeBiden/status/1213131655474376705,"Our world has been set on edge by an erratic, unstable, and dangerously incompetent commander in chief. The stakes could not be higher. Every day that Donald Trump directs American national security is a dangerous day for the United States and the world. https://t.co/EoWjabVp3u",4611,10453,972,37963
2020-01-03 21:57,https://twitter.com/JoeBiden/status/1213217722508570624,We need a leader who will be ready on day one to pick up the pieces of Donald Trump's broken foreign policy and repair the damage he has caused around the world. https://t.co/mB6i1U2yPv,1742,3584,290,15405
2020-01-04 01:05,https://twitter.com/JoeBiden/status/1213265034601611264,"The prospect of direct conflict with Iran is greater than ever. Does Donald Trump have a strategy for what comes next?

Nothing we have seen from this Administration suggests that they are prepared to deal with the risks we now confront. https://t.co/RF7DD3rcDb",2122,3977,377,14234
2020-01-04 17:40,https://twitter.com/JoeBiden/status/1213515434420391937,"On the trail, I hear countless stories from folks whose lives have been changed by Obamacare. We can't afford to start over—we need a president who will protect and build on it to ensure everyone has access to quality, affordable care. https://t.co/99TUE7n9Gs",742,2638,174,10866
2020-01-04 20:20,https://twitter.com/JoeBiden/status/1213555699671851015,"We can overcome four years of Donald Trump, but if we give him eight years in the White House he will forever and fundamentally alter the character of this nation. We can't let that happen. https://t.co/LPhHZS08UE",2082,5631,406,25642
2020-01-04 21:29,https://twitter.com/JoeBiden/status/1213573089910493184,"This simply shouldn’t happen in America. Folks deserve access to affordable, quality long-term care in their homes. 

We have to fight for Alex and those who use long-term care. https://t.co/xOcxW2YJPt",236,450,30,1824
2020-01-04 23:41,https://twitter.com/JoeBiden/status/1213606448699232257,"The world is burning, yet Donald Trump continues to deny the evidence of climate change before all of our eyes. We have to get him out of the White House and take urgent global action to combat the climate crisis before it’s too late. https://t.co/z6EK9uYXzO",3449,5304,464,23357
2020-01-05 03:26,https://twitter.com/JoeBiden/status/1213663155743842304,"The more the walls close in on this guy, the more irrational he becomes. https://t.co/Nba7Color1",2463,8296,412,44141
2020-01-05 19:40,https://twitter.com/JoeBiden/status/1213908021304332288,"Hey @realDonaldTrump, do you think the American people want another war in the Middle East? Des Moines certainly doesn’t. https://t.co/uFgQuqg1oL",1308,3235,178,14803
2020-01-05 22:48,https://twitter.com/JoeBiden/status/1213955345372065792,"This is a crisis of Donald Trump’s own making. He claimed pulling out of the Iran deal would deter Iranian aggression and result in a better deal. He has failed on both counts.

He is the most erratic and incompetent commander in chief we’ve ever had. https://t.co/wHhWJA1Zhm",2229,12729,541,50500
2020-01-06 00:32,https://twitter.com/JoeBiden/status/1213981505443287040,"Our Statue of Liberty invites in the tired, the poor, the huddled masses yearning to breathe free. But Donald Trump has slammed the door in the face of families fleeing persecution and violence. Jill traveled to Matamoros to shed light on how these policies hurt asylum seekers. https://t.co/2Bwwl2pEzq",789,1234,107,4339
2020-01-06 00:56,https://twitter.com/JoeBiden/status/1213987660802465793,I stand in solidarity with those marching in New York against the rise of anti-Semitism. This is what the battle for the soul of our nation looks like — and it's up to all of us to reject intolerance in all its forms and give hate no safe harbor. https://t.co/XyTOdFhpKM,298,1611,38,8477
2020-01-06 19:30,https://twitter.com/JoeBiden/status/1214267892482469888,Let's be clear: Donald Trump does not have the authority to take us into war with Iran without Congressional approval. A president should never take this nation to war without the informed consent of the American people.,3447,8448,600,44760
2020-01-06 21:31,https://twitter.com/JoeBiden/status/1214298343435915264,"On Día de los Reyes, as Christmas comes to a close, we are reminded of the call of the three kings: to give of ourselves without expectation, seek peace no matter how long the journey, and know that a bright future is within reach. Jill and I wish a Happy Three Kings’ Day to all!",203,567,32,3478
2020-01-07 00:18,https://twitter.com/JoeBiden/status/1214340404289703936,"Trump wants to ignore climate science when making infrastructure decisions. In the Biden Administration, every dollar spent toward rebuilding our roads, bridges, buildings, the electric grid, and our water infrastructure will be used to reduce and withstand a changing climate. https://t.co/QYjbobZQAD",597,1225,48,5046
2020-01-07 17:57,https://twitter.com/JoeBiden/status/1214607032113913857,"At 1:00 PM, I'll be speaking about the escalating situation with Iran and the imperative need to restore respected, responsible, and dignified leadership on the world stage. Tune in to watch live: https://t.co/wjXqg8F4Z9",732,935,86,3823
2020-01-07 19:20,https://twitter.com/JoeBiden/status/1214627763832807424,"Donald Trump is the most reckless &amp; incompetent commander in chief we've ever had. Every day he directs American national security is a dangerous day for the world.

We have to get him out of the White House. Chip in to help make him a one-term president: https://t.co/rvjLIX0Fxy",807,834,74,3886
2020-01-07 20:14,https://twitter.com/JoeBiden/status/1214641417160724484,"Nicolás Maduro is a dictator. I strongly condemn his regime’s violent takeover of the Venezuelan National Assembly, the country’s sole remaining democratic institution. https://t.co/mzrg9e8t5X",253,1289,78,3151
2020-01-07 20:33,https://twitter.com/JoeBiden/status/1214646310256726016,"I stand with the people of Puerto Rico, our fellow citizens, in this moment of need. It’s unconscionable that so much of the hard work of disaster recovery continues to be left undone. We've got to deliver concrete support for Puerto Rico now before more lives are lost. https://t.co/b4baNN7hYj",226,1025,61,3857
2020-01-07 22:05,https://twitter.com/JoeBiden/status/1214669387417952258,"Estoy con el pueblo de Puerto Rico, nuestros conciudadanos, en este momento de necesidad. Es inconcebible que gran parte del arduo trabajo de la recuperación ante desastres aún no se haya hecho. Tenemos que ofrecer apoyo concreto a Puerto Rico antes de que se pierdan más vidas. https://t.co/b4baNN7hYj",256,588,50,2172
2020-01-07 22:30,https://twitter.com/JoeBiden/status/1214675579498192898,"Donald Trump says he wants to end endless wars in the Middle East, yet he is bringing us dangerously close to starting a new one. https://t.co/lTXpzBrqQR",1205,1398,197,5326
2020-01-08 01:37,https://twitter.com/JoeBiden/status/1214722638733406209,"I’m going to hold off on commenting on the news tonight until we know more, but there is one thing I will say: Jill and I are keeping our troops and Americans overseas in our prayers. We hope you’ll keep them in yours.",5709,10418,1737,92005
2020-01-08 18:40,https://twitter.com/JoeBiden/status/1214980085339623425,"We have to rebuild the middle class. But this time, we have to make sure that people historically left out of the middle class — whether due to race, gender, sexual orientation, disability, or religion — have the chance to be included in our success. https://t.co/YTwf2WYOYd",508,685,74,2855
2020-01-08 20:35,https://twitter.com/JoeBiden/status/1215009026125303811,"Pope Francis is absolutely right. As a nation, we have a moral obligation to ensure everyone has access to the care they need. Health care is a right for all — not a privilege for the few. https://t.co/c84y4GAMCq",2090,2781,478,13922
2020-01-08 23:35,https://twitter.com/JoeBiden/status/1215054324553764864,"3,820 days — that's how long it's been since the federal minimum wage was last raised. It’s unacceptable. Raising the minimum wage to $15 an hour nationwide should be just our starting point for ensuring workers receive the pay they deserve. https://t.co/pL3qZXsCJu",611,835,73,2870
2020-01-09 00:34,https://twitter.com/JoeBiden/status/1215069324538499072,Gabby is one of the strongest people I know. The resilience she has shown is remarkable. I'm inspired by her courage in turning tragedy into purpose and grateful for her relentless determination to make our country a safer place for all. https://t.co/PHlQy6cxYF,82,720,17,4094
2020-01-09 01:26,https://twitter.com/JoeBiden/status/1215082272682119170,"I'm thankful no one was hurt in last night's attack. But we're only in this mess because Donald Trump pulled out of the Iran Deal (which even his advisors said was working), turned his back on our allies, and had no strategy for what comes next.",1492,4776,224,27199
2020-01-09 01:26,https://twitter.com/JoeBiden/status/1215082273822953472,"Instead of using his statement today to lay out a coherent strategy on Iran, Donald Trump used it to mislead the country on the Obama-Biden record. He's been President for three years. It's time he stops blaming President Obama for his failures.",675,2064,113,11053
2020-01-09 15:45,https://twitter.com/JoeBiden/status/1215298432958529537,"We are so much better than who Donald Trump thinks we are. We don’t have to give in to his dark, petty, angry vision of America. We can choose to be the more perfect union we have always aspired to be — and restore the soul of this nation. https://t.co/nkD23GxirG",1427,3882,220,18878
2020-01-09 19:44,https://twitter.com/JoeBiden/status/1215358611024678913,Facebook continues to put their profits over the truth — allowing politicians like Donald Trump to spend an unthinkable amount of money on paid disinformation. Our democracy is worse off for their failure to confront this. https://t.co/sKaAjHsKc7,658,2267,134,7056
2020-01-09 22:01,https://twitter.com/JoeBiden/status/1215393056603561984,This election is about the soul of America — and a nation that allows our epidemic of school shootings to continue has a troubled soul. We have to beat the @NRA and get weapons of war off our streets. Lives depend on it. https://t.co/WtSljHo3ka,499,909,79,2856
2020-01-10 02:16,https://twitter.com/JoeBiden/status/1215457388825923584,"I started the Cancer Moonshot so we could be the generation that finally cures cancer.

You then tried to slash nearly $1 billion for cancer funding.

We're lucky that the cancer rate is down, but we're luckier that Congress stopped you. https://t.co/MY3BtXMLoE",1011,9367,368,38663
2020-01-10 15:15,https://twitter.com/JoeBiden/status/1215653271961919489,"Donald Trump brought us dangerously close to starting a new war with Iran without any semblance of a plan.

This moment requires a leader who will be ready on day one to pick up the pieces and repair the damage Trump has caused. https://t.co/HDNnbR8tEB",1107,2437,185,9443
2020-01-10 18:35,https://twitter.com/JoeBiden/status/1215703603098288129,"I've released 21 years of my tax returns. Why haven't you released any of yours, Mr. President?

Release your taxes or hush up about corruption. https://t.co/g1C7l4imKW",1784,7786,532,33806
