Date,Open,High,Low,Close,Adj Close,Volume
2019-05-13,46.279999,46.990002,46.259998,46.330002,44.006683,23304700
2019-05-14,46.380001,46.930000,45.980000,46.490002,44.158661,21267600
2019-05-15,46.020000,46.349998,45.490002,45.840000,43.541256,20123300
2019-05-16,45.990002,46.529999,45.759998,45.900002,43.598251,20764100
2019-05-17,45.439999,46.230000,45.410000,45.700001,43.408276,22273500
2019-05-20,45.619999,45.910000,45.299999,45.450001,43.170811,18854000
2019-05-21,45.619999,46.360001,45.520000,46.330002,44.006683,18416300
2019-05-22,46.070000,46.310001,45.959999,46.099998,43.788216,13155000
2019-05-23,45.830002,45.860001,45.070000,45.560001,43.275299,17643700
2019-05-24,45.759998,46.349998,45.590000,46.169998,43.854702,13425500
2019-05-28,46.070000,46.250000,45.580002,45.590000,43.303795,19984600
2019-05-29,45.389999,45.680000,45.130001,45.480000,43.199310,16058800
2019-05-30,45.689999,45.849998,44.880001,45.049999,42.790867,13775900
2019-05-31,44.529999,44.860001,44.220001,44.369999,42.144970,17540500
2019-06-03,44.240002,45.110001,44.200001,44.520000,42.287449,20172500
2019-06-04,45.160000,45.759998,45.009998,45.680000,43.389278,21082000
2019-06-05,45.869999,45.900002,45.299999,45.860001,43.560253,13705400
2019-06-06,45.740002,46.189999,45.450001,45.919998,43.617241,16020500
2019-06-07,45.900002,46.160000,45.549999,45.630001,43.341789,14979900
2019-06-10,46.060001,46.810001,46.060001,46.270000,43.949692,15242700
2019-06-11,45.840000,46.459999,45.770000,46.259998,43.940193,15078300
2019-06-12,46.009998,46.270000,44.779999,44.910000,42.657894,22463300
2019-06-13,45.099998,45.630001,44.919998,45.290001,43.018833,15629400
2019-06-14,45.310001,45.790001,44.840000,45.590000,43.303795,16147500
2019-06-17,45.580002,46.020000,45.139999,45.270000,42.999840,13420400
2019-06-18,45.250000,46.389999,45.060001,46.099998,43.788216,18611100
2019-06-19,46.480000,46.750000,45.630001,45.650002,43.360786,17787600
2019-06-20,45.849998,45.990002,45.240002,45.860001,43.560253,19205200
2019-06-21,45.840000,46.889999,45.790001,46.889999,44.538601,39186200
2019-06-24,46.549999,46.689999,46.230000,46.270000,43.949692,21854400
